"b_OTU_1045" "b_OTU_109" "b_OTU_1093" "b_OTU_11" "b_OTU_112" "b_OTU_1191" "b_OTU_1200" "b_OTU_123" "b_OTU_13" "b_OTU_1431" "b_OTU_153" "b_OTU_17" "b_OTU_171" "b_OTU_18" "b_OTU_182" "b_OTU_20" "b_OTU_21" "b_OTU_22" "b_OTU_23" "b_OTU_235" "b_OTU_24" "b_OTU_25" "b_OTU_26" "b_OTU_27" "b_OTU_29" "b_OTU_304" "b_OTU_31" "b_OTU_329" "b_OTU_33" "b_OTU_34" "b_OTU_35" "b_OTU_36" "b_OTU_364" "b_OTU_37" "b_OTU_39" "b_OTU_41" "b_OTU_42" "b_OTU_44" "b_OTU_443" "b_OTU_444" "b_OTU_447" "b_OTU_46" "b_OTU_47" "b_OTU_48" "b_OTU_49" "b_OTU_51" "b_OTU_548" "b_OTU_55" "b_OTU_56" "b_OTU_57" "b_OTU_58" "b_OTU_59" "b_OTU_60" "b_OTU_625" "b_OTU_63" "b_OTU_662" "b_OTU_69" "b_OTU_72" "b_OTU_73" "b_OTU_74" "b_OTU_76" "b_OTU_8" "b_OTU_81" "b_OTU_87" "b_OTU_90" "b_OTU_98" "f_OTU_1" "f_OTU_2" "f_OTU_3" "f_OTU_4" "f_OTU_5" "f_OTU_6" "f_OTU_7" "f_OTU_8" "f_OTU_9" "f_OTU_10" "f_OTU_12" "f_OTU_13" "f_OTU_15" "f_OTU_17" "f_OTU_19" "f_OTU_20" "f_OTU_23" "f_OTU_24" "f_OTU_25" "f_OTU_26" "f_OTU_27" "f_OTU_28" "f_OTU_29" "f_OTU_30" "f_OTU_32" "f_OTU_33" "f_OTU_39" "f_OTU_40" "f_OTU_43" "f_OTU_46" "f_OTU_57" "f_OTU_63" "f_OTU_65" "f_OTU_68" "f_OTU_79" "f_OTU_317" "f_OTU_576" "f_OTU_579" "f_OTU_662" "f_OTU_672" "f_OTU_1011" "f_OTU_1085" "f_OTU_1090" "f_OTU_1141" "f_OTU_1278" "f_OTU_1567" "f_OTU_1656" "E_alphitoides"
"A3.30" 0 0 0 71 0 6 0 5 41 17 1 35 0 76 0 9 0 3 1 10 2 2 1 9 21 4 3 28 1 0 60 16 3 71 0 53 1 35 1 4 0 15 6 21 1 0 0 0 0 2 10 15 6 3 0 0 16 10 22 6 20 128 0 0 0 0 39 0 353 1 84 13 6 23 16 22 75 74 10 0 6 15 11 10 3 6 1 0 8 12 0 29 8 19 2 0 1 22 0 0 0 45 21 0 66 8 0 68 7 4 55 5 13 0
"A3.31" 0 0 0 6 0 0 0 0 7 0 0 0 0 0 0 0 0 0 3 1 0 0 0 7 1 0 0 7 0 0 0 4 1 22 0 5 1 4 1 2 1 5 0 0 0 1 0 0 5 1 3 0 0 5 7 0 5 0 0 4 0 74 2 0 0 0 221 0 375 0 24 21 17 21 16 39 3 17 24 5 36 31 6 13 2 13 12 0 3 20 0 27 20 6 2 0 0 47 0 0 0 16 7 0 67 2 0 11 106 12 188 18 21 0
"A3.32" 0 0 0 1 0 0 0 0 13 1 0 1 0 1 0 1 0 0 1 0 0 0 0 7 1 0 0 1 0 0 2 2 2 4 0 0 0 9 0 0 0 3 4 1 0 1 0 0 2 3 0 0 6 3 1 0 3 6 1 0 0 121 0 0 0 0 426 0 154 1 51 16 30 129 27 95 1 14 4 1 222 17 6 57 0 22 6 1 0 20 0 27 9 4 0 0 10 46 0 0 0 28 57 0 42 4 0 5 72 103 159 23 9 0
"A3.33" 0 0 0 7 0 0 0 0 7 0 0 0 0 5 0 1 1 0 0 0 1 5 0 2 5 0 0 2 1 0 3 0 6 6 0 2 1 30 0 0 0 2 3 1 0 0 0 0 2 7 0 0 1 0 2 0 0 1 0 0 1 75 0 0 0 0 402 1 281 0 25 2 12 16 5 40 3 13 5 1 155 29 2 0 0 9 7 0 2 11 0 7 17 3 0 0 2 46 0 0 0 2 7 0 56 43 0 0 73 0 390 11 0 0
"A3.34" 0 0 0 14 0 5 0 3 33 1 0 3 0 22 3 8 2 8 1 1 0 6 0 16 7 0 1 3 4 0 1 1 6 3 0 0 1 2 0 1 0 36 74 2 0 0 0 0 2 3 1 0 33 2 1 0 1 2 11 3 13 223 0 0 1 0 254 1 351 2 12 0 9 8 30 7 6 23 0 3 61 12 0 0 0 16 7 2 4 5 0 6 5 5 0 0 1 53 0 0 0 12 22 0 80 12 0 23 94 1 327 2 0 0
"A3.35" 0 0 0 1 3 0 0 0 48 0 0 3 0 22 0 6 1 4 4 4 0 0 0 16 5 0 2 7 0 0 1 0 8 14 1 2 2 2 0 0 0 35 19 15 0 0 0 1 8 2 6 0 0 2 1 0 34 12 0 0 21 722 3 0 0 0 329 0 217 0 28 1 18 51 14 33 0 22 1 8 43 12 7 6 1 10 3 1 1 17 0 33 1 16 3 0 14 72 0 0 0 18 44 0 58 9 0 25 196 2 28 11 19 0
"A3.36" 0 0 0 6 1 0 0 0 2 0 0 1 1 2 0 0 0 0 4 0 1 0 0 15 0 1 2 0 0 0 1 0 1 2 0 2 0 0 0 0 0 2 0 0 0 1 0 0 4 9 1 0 1 3 1 0 3 0 0 4 1 23 0 2 0 0 500 0 225 0 48 0 14 97 8 57 0 26 1 2 123 14 6 13 4 16 30 1 0 4 0 37 7 10 1 0 31 143 0 0 0 14 57 0 78 2 0 7 127 7 117 34 1 0
"A3.37" 0 0 0 3 2 0 0 1 15 5 0 1 0 16 0 0 0 0 1 7 0 0 0 6 3 0 0 38 3 0 0 22 0 168 0 0 0 19 0 4 0 34 25 29 0 0 0 0 1 4 90 0 2 0 2 0 39 337 7 0 4 729 1 0 0 0 194 0 409 0 21 7 14 19 18 14 2 23 0 3 9 5 0 6 0 2 48 0 22 66 0 7 12 9 0 0 1 2 0 0 0 20 12 0 44 12 0 11 64 0 39 9 48 0
"A3.38" 0 0 0 5 1 1 0 1 223 2 0 2 0 2 0 3 0 2 6 1 0 1 0 26 16 0 0 4 0 0 29 4 17 18 0 3 0 6 0 7 0 13 21 47 0 1 0 0 4 6 6 0 3 2 4 0 18 2 7 1 1 472 0 0 0 0 187 0 362 1 16 3 13 38 8 11 0 16 4 4 8 11 3 1 0 2 115 0 6 29 0 5 4 4 5 0 1 14 0 1 0 6 22 0 44 34 0 24 72 6 190 4 26 0
"A3.39" 1 0 0 2 0 0 0 0 13 0 0 0 0 1 0 7 2 3 1 0 2 0 0 15 2 1 2 2 0 0 29 4 3 14 1 0 1 4 0 1 0 1 1 0 0 1 0 2 4 4 0 1 6 2 2 0 3 1 1 3 1 40 0 4 0 0 138 0 573 0 55 7 1 9 63 12 9 58 5 1 7 54 9 2 0 12 7 3 2 12 0 31 2 31 9 0 1 29 0 0 0 18 5 0 111 4 0 63 33 4 328 2 22 0
"A3.40" 10 0 2 151 2 17 0 11 176 4 1 50 0 25 18 20 0 16 10 0 4 0 0 18 19 1 4 17 2 1 11 9 17 95 3 5 5 58 9 16 1 25 20 17 564 0 0 2 2 4 15 55 1 1 2 30 42 24 40 1 12 235 1 1 1 0 19 0 242 1336 31 8 5 3 15 6 2 78 1 0 0 7 7 5 4 2 7 0 9 8 0 11 2 11 0 0 2 7 0 0 0 11 14 0 37 3 0 90 19 3 146 1 43 7
